,BLEU-1,BLEU-4,METEOR,ROUGE-L
B0_zero_shot,0.0001776268304127264,7.300026339799871e-06,0.03143300520136155,0.09816345996641243
B1_uncond_prefix,0.3529693995387744,0.1395460344661978,0.2768832020605501,0.3601816697026603
M1_seg_prefix,0.38042535454293025,0.16084151921149717,0.31525098434865984,0.38144105723672994
